2976,3764.62,1.26,0,5.98,2
731,2600.52,3.56,0.74,6.04,2
328,416.22,1.27,0.04,4.21,3
655,2112.72,3.23,0,7.98,2
1892,30671.81,16.21,0,29.25,1
365,2724.49,7.46,1.2,42.13,1
899,2651.96,2.95,0.04,7.68,2
583,4162.73,7.14,0,16.46,1
120,208.73,1.74,0.28,4.51,3
352,637.01,1.81,0.07,5.03,3
330,281.42,0.85,0.07,3.43,3
2076,9966.84,4.8,0,29.54,1
417,80.68,0.19,0.1,1.7,3
886,163.58,0.18,0,2.28,3
28,31.02,1.11,0.5,3.05,3
234,72.85,0.31,0,2.38,3
310,358.39,1.16,0.04,2.81,3
272,916.12,3.37,0,6.72,2
96,85.07,0.89,0,2.8,3
990,4141.44,4.18,0,9.81,2
250,394.61,1.58,0,4.82,3
291,347.79,1.2,0,6,3
1022,2645.48,2.59,0,11.32,2
75,138.56,1.85,1.38,1.84,3
575,2200.13,3.83,0,7.51,2
97,28.06,0.29,0,2.63,3
1022,3424.16,3.35,0.07,10.67,2
586,1824.94,3.11,0.72,6.93,2
568,726.11,1.28,0.26,3.9,3
1436,2499.85,1.74,0,8.18,2
1104,3324.82,3.01,0.17,9.89,2
386,614.69,1.59,0,6.74,2
45,59.11,1.31,0,4.31,3
518,1610.2,3.11,0,10.57,2
106,657.84,6.21,1.03,13.14,1
1124,16196.32,14.41,0.03,21.77,1
614,736.33,1.2,0.71,1.72,3
790,982.09,1.24,0.44,1.75,3
902,2518.05,2.79,0,10.73,2
627,459.38,0.73,0,1.73,3
190,299.06,1.57,0.43,2.51,3
30,44.7,1.49,0.28,2.06,3
836,1028.19,1.23,0.34,5.85,3
797,4253.91,5.34,0,22.63,1
1608,3208.08,2,0,10.42,2
6,11.15,1.86,1.18,1.52,3
76,85.46,1.12,0.41,2.36,3
23452,9382.42,0.4,0,5.48,3
8173,187072.1,22.89,0,38.76,4
765,5085.97,6.65,0,17.76,1
989,1188.85,1.2,0,5.2,3
384,589.43,1.53,0,5.85,3
1060,8916.71,8.41,0,23.2,1
190,214.52,1.13,0,2.09,3
50,58.8,1.18,0,4.05,3
650,2125.82,3.27,0,6.36,2
161,281.97,1.75,0.37,4.19,3
205,109.29,0.53,0,3.44,3
75,69.87,0.93,0,1.95,3
774,433.29,0.56,0.04,3.6,3
1439,3387.5,2.35,0.06,7.59,2
1737,111816.55,64.37,5.34,81.35,4
1639,2990.62,1.82,0.15,11.31,2
76,118.03,1.55,0.17,4.69,3
355,599.91,1.69,0.31,4.05,3
12848,6016.67,0.47,0.05,9.64,1
405,2675.25,6.61,0,14.03,1
654,833.51,1.27,0,4.3,3
1144,17206.28,15.04,0.02,27.87,1
908,3129.21,3.45,0,10.18,2
6063,17047.06,2.81,0.08,6.64,2
582,804.85,1.38,0,4.7,3
1208,3164.28,2.62,0,12.84,2
1488,3635.99,2.44,0,10.11,2
292,15.69,0.05,0,0.05,3
1737,111743.85,64.33,2.66,84.38,4
106,170.2,1.61,1.06,1.67,3
1297,2550.54,1.97,0.1,19.31,4
1122,1301.92,1.16,0,3.91,3
520,2215.96,4.26,0.82,6.99,2
775,2406.25,3.1,0.29,4.32,2
190,356.5,1.88,0.51,4.28,3
1333,15303.14,11.48,0,21.69,1
567,1629.73,2.87,0.92,8.22,2
1304,1173.59,0.9,0,3.1,3
1172,1344.96,1.15,0,5.33,3
1034,2680.42,2.59,0,12.65,2
290,468.44,1.62,0.09,5.38,3
616,4600.51,7.47,0,18.51,1
35,22.09,0.63,0,1.41,3
1548,1665.05,1.08,0,5.29,3
2100,942.81,0.45,0,2.85,3
394,370.73,0.94,0.04,3.74,3
1016,3270.55,3.22,0,11.48,2
122,43.06,0.35,0,0.81,3
196,298.59,1.52,0.34,4.29,3
710,1854.93,2.61,0.04,9.46,2
